Company_Period,Label,Confidence,x_min,y_min,x_max,y_max
CIPLA_1-90,No Pattern Detected,0.0,,,,
CIPLA_91-180,No Pattern Detected,0.0,,,,
CIPLA_181-270,Ascending Triangle,0.6844963534341019,2000-12-13,885.0,2001-01-29,1160.7
CIPLA_271-360,No Pattern Detected,0.0,,,,
CIPLA_361-450,Double Top,0.34597671376357125,2001-09-10,1030.0,2001-09-19,1340.0
CIPLA_451-540,Symmetrical Triangle,0.28844417568555797,2001-12-14,1041.0,2002-02-27,1209.0
CIPLA_541-630,Double Top,0.3031519115797663,2002-05-07,1029.0,2002-05-15,1084.9
CIPLA_631-720,No Pattern Detected,0.0,,,,
CIPLA_721-810,Head and Shoulders,0.9,2003-01-02,900.2,2003-01-17,952.5
CIPLA_811-900,Ascending Triangle,0.749447498360039,2003-07-08,735.0,2003-08-06,874.9
CIPLA_901-990,Ascending Triangle,0.6568496292656999,2003-10-16,1081.0,2003-12-11,1314.4
CIPLA_991-1080,No Pattern Detected,0.0,,,,
CIPLA_1081-1170,Descending Triangle,0.5893052489859597,2004-04-27,194.0,2004-08-27,1417.95
CIPLA_1171-1260,Ascending Triangle,0.5388869491858863,2004-10-04,258.5,2005-01-05,321.7
CIPLA_1261-1350,No Pattern Detected,0.0,,,,
CIPLA_1351-1440,Triple Bottom Reversal,0.31178051046244437,2005-06-02,282.0,2005-06-20,299.0
CIPLA_1441-1530,Inverse Head and Shoulders,0.9,2005-10-24,339.2,2005-11-02,378.0
CIPLA_1531-1620,Symmetrical Triangle,0.33181507416234024,2006-03-22,180.0,2006-06-15,760.0
CIPLA_1621-1710,Ascending Triangle,0.5164525180918622,2006-09-27,251.15,2006-10-20,270.7
CIPLA_1711-1800,No Pattern Detected,0.0,,,,
CIPLA_1801-1890,No Pattern Detected,0.0,,,,
CIPLA_1891-1980,No Pattern Detected,0.0,,,,
CIPLA_1981-2070,Triple Bottom Reversal,0.3624478150229881,2008-01-22,146.7,2008-02-13,204.7
CIPLA_2071-2160,Triple Bottom Reversal,0.21891619104069396,2008-05-26,197.0,2008-07-01,224.0
CIPLA_2161-2250,Head and Shoulders,0.9,2008-08-27,232.85,2008-09-02,244.4
CIPLA_2251-2340,No Pattern Detected,0.0,,,,
CIPLA_2341-2430,No Pattern Detected,0.0,,,,
CIPLA_2431-2520,Descending Triangle,0.342655699177439,2009-12-04,303.0,2010-02-05,363.5
CIPLA_2521-2610,No Pattern Detected,0.0,,,,
CIPLA_2611-2700,Cup and Handle,0.47915180556680304,2010-08-31,302.0,2010-10-22,348.7
CIPLA_2701-2790,Symmetrical Triangle,0.2235580101895517,2010-12-03,295.65,2011-03-03,381.0
CIPLA_2791-2880,Symmetrical Triangle,0.3288934151725947,2011-06-07,310.1,2011-07-12,341.8
CIPLA_2881-2970,Triple Bottom Reversal,0.5660316569187329,2011-09-19,274.65,2011-10-04,290.0
CIPLA_2971-3060,Head and Shoulders,0.9,2012-01-31,338.1,2012-02-09,359.95
CIPLA_3061-3150,Cup and Handle,0.5044699252388293,2012-06-13,302.6,2012-08-08,363.6
CIPLA_3151-3240,Triple Bottom Reversal,0.4683656469238771,2012-09-24,320.3,2012-10-30,387.2
CIPLA_3241-3330,Double Bottom,0.5112943525032623,2013-02-28,354.0,2013-03-26,395.95
CIPLA_3331-3420,Ascending Triangle,0.6828167908983913,2013-05-17,364.0,2013-09-10,446.7
CIPLA_3421-3510,Triple Bottom Reversal,0.3179051277958797,2013-12-05,373.2,2013-12-16,396.0
CIPLA_3511-3600,Head and Shoulders,0.4443928612990587,2014-01-29,405.2,2014-02-12,423.6
CIPLA_3601-3690,No Pattern Detected,0.0,,,,
CIPLA_3691-3780,No Pattern Detected,0.0,,,,
CIPLA_3781-3870,No Pattern Detected,0.0,,,,
CIPLA_3871-3960,No Pattern Detected,0.0,,,,
CIPLA_3961-4050,No Pattern Detected,0.0,,,,
CIPLA_4051-4140,Symmetrical Triangle,0.5076453720071799,2016-04-26,457.45,2016-08-11,547.0
CIPLA_4141-4230,No Pattern Detected,0.0,,,,
CIPLA_4231-4320,Double Top,0.8100266896756706,2017-03-23,582.2,2017-03-30,600.85
CIPLA_4321-4410,No Pattern Detected,0.0,,,,
CIPLA_4411-4500,No Pattern Detected,0.0,,,,
CIPLA_4501-4590,Descending Triangle,0.46218185961521474,2018-01-25,507.2,2018-06-06,635.0
CIPLA_4591-4680,No Pattern Detected,0.0,,,,
CIPLA_4681-4770,Triple Bottom Reversal,0.6376493475445888,2019-01-24,483.75,2019-02-05,522.55
CIPLA_4771-4860,No Pattern Detected,0.0,,,,
CIPLA_4861-4950,Double Bottom,0.09597766843320168,2019-10-10,389.55,2019-10-14,446.45
CIPLA_4951-5040,Head and Shoulders,0.8167601741751799,2019-12-27,461.2,2020-01-17,487.45
CIPLA_5041-5130,Triple Bottom Reversal,0.7601660096243061,2020-04-23,566.1,2020-05-14,632.65
CIPLA_5131-5220,Double Bottom,0.7170295585955445,2020-11-10,706.5,2020-11-25,769.8
GRASIM_1-90,Descending Triangle,0.6306121319246063,2000-01-20,215.0,2000-05-15,435.0
GRASIM_91-180,Descending Triangle,0.32913984786424816,2000-06-29,200.2,2000-09-20,308.0
GRASIM_181-270,Symmetrical Triangle,0.6174589030171652,2000-12-13,258.0,2001-01-29,345.85
GRASIM_271-360,Inverse Head and Shoulders,0.829481761712269,2001-03-28,230.9,2001-04-27,321.7
GRASIM_361-450,No Pattern Detected,0.0,,,,
GRASIM_451-540,No Pattern Detected,0.0,,,,
GRASIM_541-630,Triple Bottom Reversal,0.3991267225400489,2002-04-17,282.1,2002-04-29,291.9
GRASIM_631-720,No Pattern Detected,0.0,,,,
GRASIM_721-810,No Pattern Detected,0.0,,,,
GRASIM_811-900,Ascending Triangle,0.6806736351668636,2003-06-27,440.0,2003-08-06,650.0
GRASIM_901-990,Triple Bottom Reversal,0.07159143613705284,2003-08-25,565.0,2003-09-22,647.9
GRASIM_991-1080,Ascending Triangle,0.7280375640561367,2004-01-14,991.0,2004-04-22,1238.4
GRASIM_1081-1170,Triple Bottom Reversal,0.7058512573677502,2004-06-18,905.0,2004-07-14,1063.0
GRASIM_1171-1260,Cup and Handle,0.6458272268356854,2004-11-22,1080.0,2005-01-05,1355.95
GRASIM_1261-1350,Double Top,0.574620645036953,2005-03-04,1350.0,2005-03-10,1404.0
GRASIM_1351-1440,Triple Bottom Reversal,0.4708896766177842,2005-07-05,1010.0,2005-07-13,1107.0
GRASIM_1441-1530,Ascending Triangle,0.5793706893570043,2006-01-05,1390.0,2006-02-02,1523.45
GRASIM_1531-1620,Head and Shoulders,0.8999999999999998,2006-04-26,2261.15,2006-05-08,2609.0
GRASIM_1621-1710,Triple Bottom Reversal,0.6508452435770924,2006-06-26,1730.0,2006-07-24,2057.0
GRASIM_1711-1800,Double Top,0.8402274648294582,2007-01-25,2750.05,2007-02-07,2940.0
GRASIM_1801-1890,Ascending Triangle,0.6690736250313547,2007-05-22,2326.1,2007-07-13,2920.0
GRASIM_1891-1980,No Pattern Detected,0.0,,,,
GRASIM_1981-2070,No Pattern Detected,0.0,,,,
GRASIM_2071-2160,No Pattern Detected,0.0,,,,
GRASIM_2161-2250,No Pattern Detected,0.0,,,,
GRASIM_2251-2340,Triple Bottom Reversal,0.47911268041611804,2009-01-23,1111.1,2009-02-02,1234.95
GRASIM_2341-2430,Ascending Triangle,0.5794255407201145,2009-07-21,2458.3,2009-09-22,2940.0
GRASIM_2431-2520,No Pattern Detected,0.0,,,,
