Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
ADANIPORTS_271-360,154.5,150.75,175.0,119.1,153.7,172847243.0,Triple Bottom Reversal,2013-02-13,2013-06-24
ADANIPORTS_361-450,150.75,144.55,164.4,116.65,150.75,162734727.0,Double Top,2013-06-25,2013-11-03
ADANIPORTS_451-540,143.0,179.2,190.75,140.6,144.55,179597482.0,Inverse Head and Shoulders,2013-11-05,2014-03-13
ADANIPORTS_631-720,272.9,278.1,308.75,244.1,275.7,287360155.0,Symmetrical Triangle,2014-07-25,2014-12-11
ADANIPORTS_811-900,316.75,355.45,374.8,288.0,316.3,359641073.0,Cup and Handle,2015-04-27,2015-08-31
ADANIPORTS_901-990,344.95,230.2,354.75,222.8,355.45,297262383.0,Symmetrical Triangle,2015-09-01,2016-01-13
ADANIPORTS_991-1080,227.0,191.7,250.0,169.15,230.2,458656027.0,Head and Shoulders,2016-01-14,2016-05-27
ADANIPORTS_1171-1260,267.4,299.95,317.0,245.15,264.9,366779096.0,Ascending Triangle,2016-10-07,2017-02-15
ADANIPORTS_1441-1530,430.6,370.0,452.35,355.25,429.7,346221849.0,Head and Shoulders,2017-11-09,2018-03-20
ADANIPORTS_1531-1620,372.9,394.65,415.65,350.45,370.0,269383680.0,Ascending Triangle,2018-03-21,2018-07-27
ADANIPORTS_1621-1710,395.0,374.45,406.4,294.1,394.65,320159149.0,Double Top,2018-07-30,2018-12-12
ADANIPORTS_1711-1800,374.9,391.75,402.7,292.1,374.45,367995452.0,Ascending Triangle,2018-12-13,2019-04-24
ADANIPORTS_2071-2160,344.0,360.65,378.35,298.0,339.95,374279115.0,Triple Bottom Reversal,2020-06-03,2020-10-07
ADANIPORTS_2161-2250,359.8,627.75,639.9,341.15,360.65,717805275.0,Descending Triangle,2020-10-08,2021-02-15
ASIANPAINT_1-90,370.0,373.1,530.0,357.0,370.0,1336662.0,Head and Shoulders,2000-01-03,2000-05-15
ASIANPAINT_91-180,370.0,236.7,474.8,222.0,373.1,842220.0,Double Top,2000-05-16,2000-09-20
ASIANPAINT_361-450,249.0,261.55,278.0,235.0,246.7,1157873.0,Cup and Handle,2001-06-11,2001-10-17
ASIANPAINT_451-540,256.75,311.45,315.0,251.2,261.55,1094759.0,Triple Bottom Reversal,2001-10-18,2002-02-27
ASIANPAINT_541-630,302.05,367.55,375.0,280.1,311.45,1600872.0,Inverse Head and Shoulders,2002-02-28,2002-07-08
ASIANPAINT_631-720,366.0,323.7,379.0,302.0,367.55,1154631.0,Descending Triangle,2002-07-09,2002-11-18
ASIANPAINT_721-810,323.25,333.1,380.0,310.0,323.7,1142093.0,Triple Bottom Reversal,2002-11-20,2003-03-28
ASIANPAINT_811-900,332.0,403.65,415.0,320.5,333.1,1701501.0,Ascending Triangle,2003-03-31,2003-08-06
ASIANPAINT_901-990,415.0,328.0,486.0,272.0,403.65,3478266.0,Triple Bottom Reversal,2003-08-07,2003-12-11
ASIANPAINT_1351-1440,395.0,478.5,515.0,384.0,394.6,2351814.0,Triple Bottom Reversal,2005-05-18,2005-09-22
ASIANPAINT_1441-1530,485.0,650.1,655.0,425.55,478.5,4705367.0,Triple Bottom Reversal,2005-09-23,2006-02-02
ASIANPAINT_1531-1620,651.0,545.5,800.0,500.0,650.1,2689632.0,Descending Triangle,2006-02-03,2006-06-15
ASIANPAINT_1801-1890,655.5,865.4,951.55,551.0,655.75,3146062.0,Ascending Triangle,2007-03-06,2007-07-13
ASIANPAINT_1981-2070,971.0,1198.15,1319.95,903.0,1006.05,5698331.0,Symmetrical Triangle,2007-11-21,2008-04-01
ASIANPAINT_2161-2250,1255.05,867.3,1299.9,825.5,1254.65,2650863.0,Descending Triangle,2008-08-12,2008-12-26
ASIANPAINT_2251-2340,870.0,992.45,1011.1,700.05,867.3,3309026.0,Triple Bottom Reversal,2008-12-29,2009-05-18
ASIANPAINT_2431-2520,1362.0,1936.25,1995.0,1350.0,1357.6,3610786.0,Ascending Triangle,2009-09-23,2010-02-05
ASIANPAINT_2521-2610,1951.95,2368.35,2398.0,1712.15,1936.25,4008929.0,Symmetrical Triangle,2010-02-06,2010-06-17
ASIANPAINT_2611-2700,2368.0,2623.6,2955.0,2275.3,2368.35,9527508.0,Double Top,2010-06-18,2010-10-22
ASIANPAINT_2701-2790,2623.0,2537.95,3027.3,2364.0,2623.6,7637211.0,Symmetrical Triangle,2010-10-25,2011-03-03
ASIANPAINT_2791-2880,2574.95,3094.75,3387.0,2442.2,2537.95,10195868.0,Ascending Triangle,2011-03-04,2011-07-12
ASIANPAINT_2881-2970,3119.9,2875.35,3333.0,2626.85,3094.75,5559252.0,Head and Shoulders,2011-07-13,2011-11-24
ASIANPAINT_3151-3240,3750.0,4444.2,4497.5,3432.4,3731.4,6016833.0,Symmetrical Triangle,2012-08-09,2012-12-20
ASIANPAINT_3331-3420,4705.25,445.8,5247.75,373.4,4695.25,40326029.0,Symmetrical Triangle,2013-05-06,2013-09-10
ASIANPAINT_4051-4140,874.0,1145.1,1154.95,842.75,870.0,88938714.0,Triple Bottom Reversal,2016-04-04,2016-08-11
ASIANPAINT_4141-4230,1143.0,874.0,1227.3,851.1,1145.1,110809527.0,Double Top,2016-08-12,2016-12-23
ASIANPAINT_4231-4320,874.0,1167.35,1173.0,860.0,874.0,89367180.0,Ascending Triangle,2016-12-26,2017-05-08
ASIANPAINT_4321-4410,1172.45,1246.05,1262.0,1080.5,1167.35,77214647.0,Triple Bottom Reversal,2017-05-09,2017-09-14
ASIANPAINT_4591-4680,1270.15,1259.0,1490.6,1180.9,1262.8,98073307.0,Descending Triangle,2018-06-07,2018-10-17
ASIANPAINT_4771-4860,1404.0,1332.45,1529.85,1291.25,1402.0,112346118.0,Head and Shoulders,2019-02-27,2019-07-11
ASIANPAINT_4951-5040,1714.0,1520.9,1916.7,1431.2,1710.3,144457152.0,Double Top,2019-11-27,2020-04-03
ASIANPAINT_5041-5130,1540.0,1802.55,1864.0,1482.95,1520.9,240867157.0,Triple Bottom Reversal,2020-04-07,2020-08-14
ASIANPAINT_5131-5220,1820.0,2600.8,2636.0,1801.85,1802.55,224809143.0,Triple Bottom Reversal,2020-08-17,2020-12-22
AXISBANK_1-90,588.0,933.85,1025.0,534.0,588.0,65230400.0,Ascending Triangle,2007-08-16,2007-12-20
AXISBANK_181-270,948.0,692.55,948.0,562.2,948.1,232416223.0,Inverse Head and Shoulders,2008-05-07,2008-09-12
AXISBANK_271-360,678.95,435.65,774.0,352.5,692.55,313266921.0,Triple Bottom Reversal,2008-09-15,2009-01-29
AXISBANK_361-450,434.0,721.6,818.0,278.25,435.65,395603791.0,Descending Triangle,2009-01-30,2009-06-17
AXISBANK_451-540,727.0,952.3,1042.0,699.0,721.6,254896289.0,Triple Bottom Reversal,2009-06-18,2009-10-27
AXISBANK_811-900,1385.2,1432.1,1461.0,1150.0,1384.8,146844455.0,Ascending Triangle,2010-11-25,2011-04-04
AXISBANK_901-990,1448.0,1210.85,1460.45,1175.0,1432.1,138390033.0,Triple Bottom Reversal,2011-04-05,2011-08-11
AXISBANK_991-1080,1229.5,845.25,1230.75,808.85,1210.85,210084109.0,Triple Bottom Reversal,2011-08-12,2011-12-27
AXISBANK_1081-1170,841.0,1009.75,1308.45,784.0,845.25,211835879.0,Head and Shoulders,2011-12-28,2012-05-04
AXISBANK_1171-1260,990.0,952.95,1122.0,922.0,1009.75,189400236.0,Ascending Triangle,2012-05-07,2012-09-10
AXISBANK_1351-1440,1402.0,1430.85,1549.9,1198.0,1393.4,168307054.0,Triple Bottom Reversal,2013-01-23,2013-06-03
AXISBANK_1441-1530,1430.0,1099.65,1444.0,763.4,1430.85,319174534.0,Triple Bottom Reversal,2013-06-04,2013-10-11
AXISBANK_1531-1620,1095.0,1166.15,1342.6,1010.55,1099.65,216073572.0,Double Top,2013-10-14,2014-02-19
AXISBANK_1621-1710,1154.0,1925.7,1989.6,1146.45,1166.15,161460201.0,Triple Bottom Reversal,2014-02-20,2014-07-03
AXISBANK_1801-1890,467.5,560.2,654.9,462.65,466.65,485605658.0,Ascending Triangle,2014-11-21,2015-03-31
