Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
TATAMOTORS_3871-3960,151.3,160.5,179.65,106.0,151.25,4127911025.0,Inverse Head and Shoulders,2019-07-25,2019-12-09
ZEEL_361-450,209.3,138.6,254.8,91.1,207.15,125034611.0,Head and Shoulders,2008-08-06,2008-12-19
RELIANCE_4951-5040,1559.95,1077.45,1617.55,875.65,1560.25,1067173154.0,Head and Shoulders,2019-11-27,2020-04-03
WIPRO_4951-5040,239.0,180.0,258.35,159.4,237.55,336877987.0,Head and Shoulders,2019-11-27,2020-04-03
HINDUNILVR_271-360,239.95,250.3,267.8,185.1,239.65,362626595.0,Double Top,2008-08-18,2008-12-31
HINDUNILVR_3151-3240,2381.0,2193.6,2526.15,1902.0,2372.25,556808118.0,Symmetrical Triangle,2020-04-13,2020-08-19
ULTRACEMCO_3781-3870,4110.0,3143.6,4754.1,2910.0,4114.05,51155211.0,Double Top,2019-11-21,2020-03-27
NTPC_901-990,167.9,144.3,196.9,143.0,163.15,595268230.0,Head and Shoulders,2008-06-13,2008-10-22
EICHERMOT_4951-5040,21325.75,13314.9,22876.6,12450.1,21372.75,15592093.0,Head and Shoulders,2019-12-04,2020-04-15
BPCL_1981-2070,385.2,422.75,556.8,351.1,395.95,65995125.0,Double Top,2007-11-21,2008-04-01
GRASIM_4861-4950,920.0,791.05,939.0,633.6,919.25,197357005.0,Inverse Head and Shoulders,2019-07-12,2019-11-26
MARUTI_1261-1350,574.7,530.35,766.0,467.8,564.75,84404392.0,Head and Shoulders,2008-07-14,2008-11-24
LT_991-1080,2750.0,1005.1,2911.0,850.0,2756.15,146979383.0,Head and Shoulders,2008-06-05,2008-10-14
INFY_1981-2070,735.5,704.4,847.0,615.1,730.55,981587465.0,Descending Triangle,2019-06-28,2019-11-11
BAJAJFINSV_1-90,600.0,386.65,703.0,340.0,600.0,41400842.0,Descending Triangle,2008-05-26,2008-09-30
EICHERMOT_1981-2070,447.8,246.05,644.0,225.0,440.4,7034065.0,Descending Triangle,2007-11-28,2008-04-08
BHARTIARTL_3331-3420,433.35,470.2,568.85,361.75,433.35,1486784287.0,Head and Shoulders,2019-11-28,2020-04-07
ULTRACEMCO_811-900,1050.0,777.95,1101.8,706.65,1033.3,7153154.0,Head and Shoulders,2007-11-15,2008-03-26
POWERGRID_91-180,101.0,79.3,113.8,77.5,98.05,442380419.0,Double Top,2008-02-12,2008-06-25
POWERGRID_3061-3150,190.5,174.85,199.55,122.15,190.55,1348122801.0,Ascending Triangle,2020-02-14,2020-06-30
IOC_4951-5040,129.35,79.5,133.7,74.45,129.3,1486826896.0,Symmetrical Triangle,2019-11-27,2020-04-03
HINDALCO_2971-3060,182.05,208.85,221.2,171.1,180.25,704335851.0,Head and Shoulders,2019-08-26,2020-01-07
ULTRACEMCO_3871-3960,3116.0,3968.35,4287.35,3025.0,3143.6,56263263.0,Ascending Triangle,2020-03-30,2020-08-10
SBIN_5041-5130,184.4,196.5,207.3,149.45,175.5,6302359567.0,Symmetrical Triangle,2020-04-07,2020-08-14
HEROMOTOCO_2161-2250,1981.0,2904.0,3181.35,1933.25,1965.35,166774521.0,Triple Bottom Reversal,2020-05-06,2020-09-09
ASIANPAINT_4951-5040,1714.0,1520.9,1916.7,1431.2,1710.3,144457152.0,Double Top,2019-11-27,2020-04-03
GAIL_1711-1800,425.0,395.55,461.95,360.0,420.0,111913928.0,Symmetrical Triangle,2008-02-04,2008-06-17
HDFCBANK_4951-5040,1276.0,813.85,1305.5,738.75,1275.05,910097954.0,Head and Shoulders,2019-11-27,2020-04-03
RELIANCE_1981-2070,2770.0,2345.25,3298.0,2120.0,2784.85,302277161.0,Double Top,2007-11-21,2008-04-01
INDUSINDBK_1711-1800,95.5,75.05,114.25,64.9,93.35,104845565.0,Descending Triangle,2008-02-04,2008-06-17
TECHM_3241-3330,710.0,814.05,818.7,692.55,713.7,204652276.0,Symmetrical Triangle,2019-09-27,2020-02-05
ITC_5041-5130,185.7,196.4,209.4,157.1,177.9,2639988292.0,Inverse Head and Shoulders,2020-04-07,2020-08-14
ONGC_5041-5130,71.2,77.1,93.1,60.8,69.85,1934012629.0,Head and Shoulders,2020-04-07,2020-08-14
NTPC_811-900,213.5,163.15,227.4,156.65,211.55,712242588.0,Descending Triangle,2008-01-30,2008-06-12
POWERGRID_1-90,89.8,98.05,167.5,78.95,89.8,2295533989.0,Double Top,2007-10-05,2008-02-11
GAIL_1621-1710,364.0,420.0,555.5,329.0,363.65,183660097.0,Descending Triangle,2007-09-26,2008-02-01
WIPRO_5041-5130,188.25,276.5,290.8,173.8,180.0,1012035872.0,Ascending Triangle,2020-04-07,2020-08-14
JSWSTEEL_631-720,855.0,872.1,1205.0,694.0,849.9,80477782.0,Head and Shoulders,2008-03-26,2008-08-04
BPCL_4951-5040,493.0,317.15,518.45,252.0,496.65,700790953.0,Descending Triangle,2019-11-27,2020-04-03
DRREDDY_4861-4950,2648.0,2965.85,2975.0,2351.2,2653.05,56573354.0,Ascending Triangle,2019-07-12,2019-11-26
TITAN_5041-5130,900.1,1104.15,1131.4,810.0,862.8,385532524.0,Ascending Triangle,2020-04-07,2020-08-14
TATAMOTORS_901-990,735.0,736.15,841.9,613.0,731.85,116371859.0,Ascending Triangle,2007-07-27,2007-12-03
VEDL_1171-1260,144.45,101.05,146.8,60.2,142.2,2770566757.0,Symmetrical Triangle,2020-01-29,2020-06-11
ICICIBANK_4861-4950,427.3,510.7,517.55,384.35,426.55,2296490388.0,Triple Bottom Reversal,2019-07-12,2019-11-26
MARUTI_4141-4230,6390.0,5875.35,6480.0,4001.1,6386.05,154573767.0,Cup and Handle,2020-03-04,2020-07-16
ONGC_4951-5040,130.4,69.85,133.55,50.0,130.25,2186820104.0,Head and Shoulders,2019-11-27,2020-04-03
BRITANNIA_1981-2070,1520.0,1332.45,1650.0,1189.15,1520.05,630325.0,Head and Shoulders,2007-11-21,2008-04-01
KOTAKBANK_1261-1350,752.0,605.3,887.9,418.55,754.2,134338538.0,Ascending Triangle,2008-04-23,2008-08-29
SBIN_4861-4950,363.0,335.5,373.8,244.35,363.2,3272306251.0,Triple Bottom Reversal,2019-07-12,2019-11-26
ICICIBANK_4951-5040,513.9,286.65,552.2,268.3,510.7,2181903615.0,Double Top,2019-11-27,2020-04-03
LT_901-990,3600.0,2756.15,3950.0,2551.0,3696.55,89452995.0,Descending Triangle,2008-01-22,2008-06-04
TATASTEEL_541-630,835.4,776.35,957.0,538.0,836.3,184676728.0,Triple Bottom Reversal,2007-12-12,2008-04-24
HINDALCO_1-90,144.0,217.35,240.0,143.55,144.0,343656359.0,Ascending Triangle,2007-08-27,2008-01-02
BAJFINANCE_2161-2250,3474.0,3992.0,4219.85,2994.0,3466.5,185952738.0,Inverse Head and Shoulders,2019-06-18,2019-10-30
HINDUNILVR_2971-3060,1740.0,2035.3,2190.0,1659.05,1741.3,141533839.0,Cup and Handle,2019-07-17,2019-11-29
TATASTEEL_3601-3690,289.95,421.3,443.65,262.45,282.65,1335591478.0,Symmetrical Triangle,2020-04-30,2020-09-04
HCLTECH_1981-2070,305.15,239.0,335.5,185.05,305.15,70724152.0,Symmetrical Triangle,2007-11-29,2008-04-09
AXISBANK_181-270,948.0,692.55,948.0,562.2,948.1,232416223.0,Inverse Head and Shoulders,2008-05-07,2008-09-12
NESTLEIND_2341-2430,11615.5,14813.4,15125.85,11265.0,11613.75,7593267.0,Triple Bottom Reversal,2019-06-14,2019-10-27
HINDALCO_3061-3150,206.0,120.8,215.0,84.9,208.85,1158306781.0,Descending Triangle,2020-01-08,2020-05-20
SHREECEM_1711-1800,1329.95,696.25,1329.95,635.0,1271.6,359128.0,Symmetrical Triangle,2008-02-04,2008-06-17
BPCL_2071-2160,430.75,320.1,440.0,206.0,422.75,54793623.0,Inverse Head and Shoulders,2008-04-02,2008-08-11
GRASIM_4951-5040,787.0,454.7,836.9,385.05,791.05,203742410.0,Symmetrical Triangle,2019-11-27,2020-04-03
BRITANNIA_4951-5040,3110.4,2834.5,3318.0,2100.0,3091.1,41385901.0,Head and Shoulders,2019-11-28,2020-04-07
POWERGRID_181-270,79.75,72.4,106.15,52.0,79.3,313514927.0,Double Top,2008-06-26,2008-11-05
CIPLA_2161-2250,233.0,181.95,244.4,145.0,233.8,118995682.0,Head and Shoulders,2008-08-12,2008-12-26
CIPLA_4951-5040,475.0,449.2,487.45,355.3,478.55,313162032.0,Head and Shoulders,2019-11-27,2020-04-03
HDFC_4861-4950,2270.0,2304.65,2357.85,1951.25,2261.9,367754958.0,Cup and Handle,2019-07-12,2019-11-26
AXISBANK_3061-3150,760.9,379.55,765.85,286.0,760.15,2044347063.0,Symmetrical Triangle,2019-12-30,2020-05-11
TITAN_4951-5040,1170.0,862.8,1341.05,720.9,1166.1,221572973.0,Head and Shoulders,2019-11-27,2020-04-03
HDFC_1981-2070,2650.0,2361.95,3262.0,2125.0,2640.4,61959553.0,Head and Shoulders,2007-11-21,2008-04-01
EICHERMOT_2161-2250,278.0,240.05,294.95,135.55,271.2,841653.0,Inverse Head and Shoulders,2008-08-20,2009-01-02
BRITANNIA_5041-5130,2829.0,3868.65,4010.0,2697.35,2834.5,87509377.0,Ascending Triangle,2020-04-08,2020-08-17
TITAN_2071-2160,1100.0,1284.85,1345.0,944.0,1080.45,10923624.0,Triple Bottom Reversal,2008-04-02,2008-08-11
SBIN_1981-2070,2280.0,1623.2,2574.0,1581.0,2278.9,91568201.0,Head and Shoulders,2007-11-21,2008-04-01
MARUTI_4051-4140,7477.0,6386.05,7758.7,6103.2,7471.15,75903713.0,Symmetrical Triangle,2019-10-27,2020-03-03
CIPLA_2071-2160,223.5,233.8,244.95,197.0,220.3,102866032.0,Triple Bottom Reversal,2008-04-02,2008-08-11
