Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
DRREDDY_3421-3510,2266.0,2653.4,2682.5,2208.5,2266.4,23234937.0,Triple Bottom Reversal,2013-09-11,2014-01-20
GAIL_2071-2160,334.4,418.7,431.8,310.3,332.75,169023809.0,Triple Bottom Reversal,2009-07-29,2009-12-08
HCLTECH_3331-3420,776.5,1028.8,1081.85,716.65,772.65,110360784.0,Triple Bottom Reversal,2013-05-13,2013-09-18
DRREDDY_451-540,961.0,1082.05,1145.9,865.0,969.95,37815252.0,Triple Bottom Reversal,2001-10-18,2002-02-27
RELIANCE_3061-3150,744.25,790.8,799.0,673.05,740.55,275834474.0,Triple Bottom Reversal,2012-04-03,2012-08-08
TATASTEEL_1351-1440,616.9,564.4,642.0,548.5,609.75,258824010.0,Triple Bottom Reversal,2011-03-25,2011-08-02
COALINDIA_811-900,246.05,389.35,423.7,240.3,246.15,389566474.0,Triple Bottom Reversal,2014-01-31,2014-06-13
WIPRO_2251-2340,229.0,416.95,459.95,196.5,226.65,159582042.0,Triple Bottom Reversal,2008-12-29,2009-05-18
TITAN_3601-3690,323.45,369.05,413.15,302.75,320.25,98019545.0,Triple Bottom Reversal,2014-06-04,2014-10-16
JSWSTEEL_2071-2160,1015.0,1230.45,1295.4,804.0,1019.3,59653120.0,Triple Bottom Reversal,2014-01-14,2014-05-27
EICHERMOT_2971-3060,1615.0,2125.35,2272.0,1360.25,1590.85,1392327.0,Triple Bottom Reversal,2011-12-02,2012-04-11
BAJAJFINSV_1531-1620,935.0,1347.55,1416.9,912.0,938.85,7850979.0,Triple Bottom Reversal,2014-07-23,2014-12-09
KOTAKBANK_2251-2340,582.0,580.5,612.9,524.1,580.95,72977316.0,Triple Bottom Reversal,2012-04-24,2012-08-29
ICICIBANK_3511-3600,1053.0,1458.35,1593.2,943.6,1044.0,322939614.0,Triple Bottom Reversal,2014-01-21,2014-06-03
SHREECEM_2791-2880,2632.0,4117.3,4445.0,2570.5,2625.25,1356375.0,Triple Bottom Reversal,2012-06-15,2012-10-23
ULTRACEMCO_1441-1530,965.0,1132.45,1152.45,821.0,974.6,17811525.0,Triple Bottom Reversal,2010-06-14,2010-10-18
HINDALCO_3151-3240,121.4,159.1,203.15,120.65,120.8,1559895936.0,Triple Bottom Reversal,2020-05-21,2020-09-24
COALINDIA_1081-1170,369.85,428.65,441.2,346.4,369.3,305283976.0,Triple Bottom Reversal,2015-03-12,2015-07-21
BPCL_3151-3240,353.6,349.9,376.9,315.0,351.65,81101882.0,Triple Bottom Reversal,2012-08-09,2012-12-20
BHARTIARTL_1711-1800,322.25,335.1,354.0,274.25,320.5,412113135.0,Triple Bottom Reversal,2013-05-07,2013-09-11
HCLTECH_5131-5220,705.0,946.15,950.0,682.4,705.7,827057702.0,Triple Bottom Reversal,2020-08-25,2020-12-31
TCS_1441-1530,756.65,967.75,1011.0,725.75,781.0,136733438.0,Triple Bottom Reversal,2010-06-15,2010-10-19
SUNPHARMA_451-540,556.0,640.05,691.7,541.1,559.3,1973865.0,Triple Bottom Reversal,2001-10-18,2002-02-27
INDUSINDBK_2161-2250,141.0,190.2,196.45,132.25,143.55,80763712.0,Triple Bottom Reversal,2009-12-09,2010-04-23
GRASIM_3061-3150,2647.0,2970.8,2980.0,2210.0,2619.5,5751344.0,Triple Bottom Reversal,2012-04-03,2012-08-08
HEROMOTOCO_811-900,2950.05,2595.75,3269.95,2572.25,2964.4,56217021.0,Triple Bottom Reversal,2014-11-17,2015-03-25
SUNPHARMA_2251-2340,1050.0,1590.05,1599.0,954.0,1056.8,28650063.0,Triple Bottom Reversal,2008-12-29,2009-05-18
SBIN_181-270,193.0,229.0,236.5,155.0,193.75,118331026.0,Triple Bottom Reversal,2000-09-21,2001-01-29
TCS_2521-2610,2680.0,2704.75,2758.6,2345.0,2678.5,107960439.0,Triple Bottom Reversal,2014-10-13,2015-02-24
TITAN_181-270,54.0,70.75,79.9,46.75,53.95,3762161.0,Triple Bottom Reversal,2000-09-21,2001-01-29
HDFCBANK_2341-2430,1392.0,1546.35,1584.0,1206.3,1378.1,107437355.0,Triple Bottom Reversal,2009-05-19,2009-09-22
SBIN_5131-5220,198.45,257.45,276.25,175.5,196.5,5141931862.0,Triple Bottom Reversal,2020-08-17,2020-12-22
IOC_1891-1980,434.0,574.3,664.0,371.45,433.55,35937530.0,Triple Bottom Reversal,2007-07-16,2007-11-20
TITAN_3871-3960,360.2,369.9,372.0,302.75,359.7,74035654.0,Triple Bottom Reversal,2015-07-10,2015-11-19
ONGC_3511-3600,287.55,416.75,425.0,264.15,287.15,396682415.0,Triple Bottom Reversal,2014-01-21,2014-06-03
BRITANNIA_2521-2610,1618.0,1851.4,1860.0,1557.1,1617.85,435099.0,Triple Bottom Reversal,2010-02-08,2010-06-18
NTPC_1711-1800,171.4,170.85,183.4,152.05,173.3,221692362.0,Triple Bottom Reversal,2011-09-22,2012-02-01
INDUSINDBK_2251-2340,192.4,228.75,237.0,174.1,190.2,76979834.0,Triple Bottom Reversal,2010-04-26,2010-08-27
LT_2341-2430,945.0,1216.6,1268.55,912.1,943.65,189268498.0,Triple Bottom Reversal,2013-11-12,2014-03-21
HINDUNILVR_451-540,231.0,259.5,306.7,228.1,230.4,347411815.0,Triple Bottom Reversal,2009-05-22,2009-09-25
BAJFINANCE_2431-2520,3320.0,4689.75,4869.3,3006.9,3292.45,508318893.0,Triple Bottom Reversal,2020-07-22,2020-11-25
ITC_2251-2340,170.5,206.75,223.25,156.0,170.65,396867525.0,Triple Bottom Reversal,2008-12-29,2009-05-18
HEROMOTOCO_2251-2340,2920.0,3163.15,3394.9,2787.0,2904.0,134306856.0,Triple Bottom Reversal,2020-09-10,2021-01-18
TATAMOTORS_1981-2070,183.7,301.35,304.95,167.5,188.55,1225168189.0,Double Top,2011-12-09,2012-04-17
SUNPHARMA_3511-3600,594.0,603.15,653.35,552.55,589.4,238472623.0,Double Top,2014-01-21,2014-06-03
SBIN_3421-3510,1622.9,1641.85,1924.0,1573.85,1633.5,173924978.0,Double Top,2013-09-11,2014-01-20
INDUSINDBK_1891-1980,38.9,30.1,46.9,26.15,33.5,28546487.0,Double Top,2008-10-28,2009-03-16
ASIANPAINT_2611-2700,2368.0,2623.6,2955.0,2275.3,2368.35,9527508.0,Double Top,2010-06-18,2010-10-22
DRREDDY_3871-3960,3734.8,3281.1,4386.6,3137.85,3732.05,51459590.0,Double Top,2015-07-10,2015-11-19
ONGC_2971-3060,253.9,269.85,304.25,244.75,255.0,293554311.0,Double Top,2011-11-25,2012-04-02
ZEEL_721-810,265.4,290.75,315.0,243.9,263.4,98748210.0,Double Top,2010-02-02,2010-06-11
HDFCBANK_2431-2520,1555.0,1573.35,1839.0,1531.5,1546.35,73119782.0,Double Top,2009-09-23,2010-02-05
HEROMOTOCO_91-180,1813.0,2184.05,2257.05,1704.0,1845.6,42379782.0,Double Top,2011-12-22,2012-04-28
TATASTEEL_1981-2070,276.45,382.5,435.5,276.45,275.75,473106388.0,Double Top,2013-10-03,2014-02-10
EICHERMOT_2431-2520,580.0,538.8,689.95,472.25,580.75,2174001.0,Double Top,2009-10-01,2010-02-11
ONGC_3601-3690,416.15,397.1,471.85,384.15,416.75,533886325.0,Double Top,2014-06-04,2014-10-16
ICICIBANK_3601-3690,1459.9,1460.55,1618.85,1333.3,1458.35,227124416.0,Double Top,2014-06-04,2014-10-16
KOTAKBANK_1891-1980,488.0,421.1,497.55,333.0,486.3,87358132.0,Double Top,2010-11-11,2011-03-22
ZEEL_3331-3420,152.7,231.9,236.9,152.55,151.2,3041348240.0,Double Top,2020-08-11,2020-12-16
ICICIBANK_3691-3780,1471.75,335.25,1798.15,316.4,1460.55,816255988.0,Double Top,2014-10-17,2015-02-27
BAJAJ-AUTO_811-900,1639.0,1456.9,1823.55,1408.65,1573.55,44097118.0,Double Top,2011-09-02,2012-01-11
TCS_1531-1620,964.5,1110.05,1220.0,956.2,967.75,141386262.0,Double Top,2010-10-20,2011-02-25
TCS_1981-2070,1245.0,1205.5,1439.8,1055.0,1236.9,93451806.0,Double Top,2012-08-06,2012-12-17
