Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
CIPLA_2071-2160,223.5,233.8,244.95,197.0,220.3,102866032.0,Triple Bottom Reversal,2008-04-02,2008-08-11
HINDALCO_91-180,218.0,204.0,221.4,140.0,217.35,279979593.0,Triple Bottom Reversal,2008-01-03,2008-05-15
TITAN_2071-2160,1100.0,1284.85,1345.0,944.0,1080.45,10923624.0,Triple Bottom Reversal,2008-04-02,2008-08-11
TATASTEEL_541-630,835.4,776.35,957.0,538.0,836.3,184676728.0,Triple Bottom Reversal,2007-12-12,2008-04-24
HINDUNILVR_271-360,239.95,250.3,267.8,185.1,239.65,362626595.0,Double Top,2008-08-18,2008-12-31
RELIANCE_1981-2070,2770.0,2345.25,3298.0,2120.0,2784.85,302277161.0,Double Top,2007-11-21,2008-04-01
POWERGRID_1-90,89.8,98.05,167.5,78.95,89.8,2295533989.0,Double Top,2007-10-05,2008-02-11
POWERGRID_91-180,101.0,79.3,113.8,77.5,98.05,442380419.0,Double Top,2008-02-12,2008-06-25
BPCL_1981-2070,385.2,422.75,556.8,351.1,395.95,65995125.0,Double Top,2007-11-21,2008-04-01
POWERGRID_181-270,79.75,72.4,106.15,52.0,79.3,313514927.0,Double Top,2008-06-26,2008-11-05
AXISBANK_181-270,948.0,692.55,948.0,562.2,948.1,232416223.0,Inverse Head and Shoulders,2008-05-07,2008-09-12
BPCL_2071-2160,430.75,320.1,440.0,206.0,422.75,54793623.0,Inverse Head and Shoulders,2008-04-02,2008-08-11
EICHERMOT_2161-2250,278.0,240.05,294.95,135.55,271.2,841653.0,Inverse Head and Shoulders,2008-08-20,2009-01-02
HCLTECH_1981-2070,305.15,239.0,335.5,185.05,305.15,70724152.0,Symmetrical Triangle,2007-11-29,2008-04-09
GAIL_1711-1800,425.0,395.55,461.95,360.0,420.0,111913928.0,Symmetrical Triangle,2008-02-04,2008-06-17
SHREECEM_1711-1800,1329.95,696.25,1329.95,635.0,1271.6,359128.0,Symmetrical Triangle,2008-02-04,2008-06-17
TECHM_271-360,1284.0,751.0,1550.0,575.0,1275.75,13225056.0,Symmetrical Triangle,2007-09-26,2008-02-01
IOC_2161-2250,448.0,418.35,460.0,300.0,443.05,30648695.0,Cup and Handle,2008-08-12,2008-12-26
SBIN_1981-2070,2280.0,1623.2,2574.0,1581.0,2278.9,91568201.0,Head and Shoulders,2007-11-21,2008-04-01
CIPLA_2161-2250,233.0,181.95,244.4,145.0,233.8,118995682.0,Head and Shoulders,2008-08-12,2008-12-26
JSWSTEEL_631-720,855.0,872.1,1205.0,694.0,849.9,80477782.0,Head and Shoulders,2008-03-26,2008-08-04
NTPC_901-990,167.9,144.3,196.9,143.0,163.15,595268230.0,Head and Shoulders,2008-06-13,2008-10-22
MARUTI_1261-1350,574.7,530.35,766.0,467.8,564.75,84404392.0,Head and Shoulders,2008-07-14,2008-11-24
BRITANNIA_1981-2070,1520.0,1332.45,1650.0,1189.15,1520.05,630325.0,Head and Shoulders,2007-11-21,2008-04-01
ZEEL_361-450,209.3,138.6,254.8,91.1,207.15,125034611.0,Head and Shoulders,2008-08-06,2008-12-19
HDFC_1981-2070,2650.0,2361.95,3262.0,2125.0,2640.4,61959553.0,Head and Shoulders,2007-11-21,2008-04-01
ULTRACEMCO_811-900,1050.0,777.95,1101.8,706.65,1033.3,7153154.0,Head and Shoulders,2007-11-15,2008-03-26
LT_991-1080,2750.0,1005.1,2911.0,850.0,2756.15,146979383.0,Head and Shoulders,2008-06-05,2008-10-14
TATAMOTORS_901-990,735.0,736.15,841.9,613.0,731.85,116371859.0,Ascending Triangle,2007-07-27,2007-12-03
HINDALCO_1-90,144.0,217.35,240.0,143.55,144.0,343656359.0,Ascending Triangle,2007-08-27,2008-01-02
KOTAKBANK_1261-1350,752.0,605.3,887.9,418.55,754.2,134338538.0,Ascending Triangle,2008-04-23,2008-08-29
LT_901-990,3600.0,2756.15,3950.0,2551.0,3696.55,89452995.0,Descending Triangle,2008-01-22,2008-06-04
EICHERMOT_1981-2070,447.8,246.05,644.0,225.0,440.4,7034065.0,Descending Triangle,2007-11-28,2008-04-08
ASIANPAINT_2161-2250,1255.05,867.3,1299.9,825.5,1254.65,2650863.0,Descending Triangle,2008-08-12,2008-12-26
INDUSINDBK_1711-1800,95.5,75.05,114.25,64.9,93.35,104845565.0,Descending Triangle,2008-02-04,2008-06-17
NTPC_811-900,213.5,163.15,227.4,156.65,211.55,712242588.0,Descending Triangle,2008-01-30,2008-06-12
GAIL_1621-1710,364.0,420.0,555.5,329.0,363.65,183660097.0,Descending Triangle,2007-09-26,2008-02-01
BAJAJFINSV_1-90,600.0,386.65,703.0,340.0,600.0,41400842.0,Descending Triangle,2008-05-26,2008-09-30
