Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
NESTLEIND_2341-2430,11615.5,14813.4,15125.85,11265.0,11613.75,7593267.0,Triple Bottom Reversal,2019-06-14,2019-10-27
SBIN_4861-4950,363.0,335.5,373.8,244.35,363.2,3272306251.0,Triple Bottom Reversal,2019-07-12,2019-11-26
ICICIBANK_4861-4950,427.3,510.7,517.55,384.35,426.55,2296490388.0,Triple Bottom Reversal,2019-07-12,2019-11-26
HEROMOTOCO_2161-2250,1981.0,2904.0,3181.35,1933.25,1965.35,166774521.0,Triple Bottom Reversal,2020-05-06,2020-09-09
ICICIBANK_4951-5040,513.9,286.65,552.2,268.3,510.7,2181903615.0,Double Top,2019-11-27,2020-04-03
ULTRACEMCO_3781-3870,4110.0,3143.6,4754.1,2910.0,4114.05,51155211.0,Double Top,2019-11-21,2020-03-27
ASIANPAINT_4951-5040,1714.0,1520.9,1916.7,1431.2,1710.3,144457152.0,Double Top,2019-11-27,2020-04-03
BAJFINANCE_2161-2250,3474.0,3992.0,4219.85,2994.0,3466.5,185952738.0,Inverse Head and Shoulders,2019-06-18,2019-10-30
GRASIM_4861-4950,920.0,791.05,939.0,633.6,919.25,197357005.0,Inverse Head and Shoulders,2019-07-12,2019-11-26
ITC_5041-5130,185.7,196.4,209.4,157.1,177.9,2639988292.0,Inverse Head and Shoulders,2020-04-07,2020-08-14
TATAMOTORS_3871-3960,151.3,160.5,179.65,106.0,151.25,4127911025.0,Inverse Head and Shoulders,2019-07-25,2019-12-09
GRASIM_4951-5040,787.0,454.7,836.9,385.05,791.05,203742410.0,Symmetrical Triangle,2019-11-27,2020-04-03
TATASTEEL_3601-3690,289.95,421.3,443.65,262.45,282.65,1335591478.0,Symmetrical Triangle,2020-04-30,2020-09-04
SBIN_5041-5130,184.4,196.5,207.3,149.45,175.5,6302359567.0,Symmetrical Triangle,2020-04-07,2020-08-14
AXISBANK_3061-3150,760.9,379.55,765.85,286.0,760.15,2044347063.0,Symmetrical Triangle,2019-12-30,2020-05-11
MARUTI_4051-4140,7477.0,6386.05,7758.7,6103.2,7471.15,75903713.0,Symmetrical Triangle,2019-10-27,2020-03-03
VEDL_1171-1260,144.45,101.05,146.8,60.2,142.2,2770566757.0,Symmetrical Triangle,2020-01-29,2020-06-11
TECHM_3241-3330,710.0,814.05,818.7,692.55,713.7,204652276.0,Symmetrical Triangle,2019-09-27,2020-02-05
HINDUNILVR_3151-3240,2381.0,2193.6,2526.15,1902.0,2372.25,556808118.0,Symmetrical Triangle,2020-04-13,2020-08-19
IOC_4951-5040,129.35,79.5,133.7,74.45,129.3,1486826896.0,Symmetrical Triangle,2019-11-27,2020-04-03
HDFC_4861-4950,2270.0,2304.65,2357.85,1951.25,2261.9,367754958.0,Cup and Handle,2019-07-12,2019-11-26
HINDUNILVR_2971-3060,1740.0,2035.3,2190.0,1659.05,1741.3,141533839.0,Cup and Handle,2019-07-17,2019-11-29
MARUTI_4141-4230,6390.0,5875.35,6480.0,4001.1,6386.05,154573767.0,Cup and Handle,2020-03-04,2020-07-16
RELIANCE_4951-5040,1559.95,1077.45,1617.55,875.65,1560.25,1067173154.0,Head and Shoulders,2019-11-27,2020-04-03
ONGC_5041-5130,71.2,77.1,93.1,60.8,69.85,1934012629.0,Head and Shoulders,2020-04-07,2020-08-14
BHARTIARTL_3331-3420,433.35,470.2,568.85,361.75,433.35,1486784287.0,Head and Shoulders,2019-11-28,2020-04-07
CIPLA_4951-5040,475.0,449.2,487.45,355.3,478.55,313162032.0,Head and Shoulders,2019-11-27,2020-04-03
TITAN_4951-5040,1170.0,862.8,1341.05,720.9,1166.1,221572973.0,Head and Shoulders,2019-11-27,2020-04-03
