Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
TCS_2791-2880,2380.5,2469.4,2517.15,2115.0,2374.6,88825052.0,Triple Bottom Reversal,2015-11-17,2016-03-29
SHREECEM_3871-3960,16880.0,15902.95,17300.0,13010.0,16719.25,1501708.0,Triple Bottom Reversal,2016-10-30,2017-03-08
BRITANNIA_4051-4140,2650.0,3285.1,3317.25,2519.1,2659.2,20747054.0,Triple Bottom Reversal,2016-04-05,2016-08-12
RELIANCE_4411-4500,842.0,983.25,990.95,779.1,843.85,589138959.0,Triple Bottom Reversal,2017-09-15,2018-01-23
WIPRO_3961-4050,561.7,562.15,587.45,507.9,556.75,117936517.0,Triple Bottom Reversal,2015-11-20,2016-04-01
MARUTI_3511-3600,7649.1,9700.0,9996.4,7475.1,7608.45,39749201.0,Triple Bottom Reversal,2017-08-16,2017-12-22
TECHM_2341-2430,478.9,533.1,564.0,407.4,472.2,168855903.0,Triple Bottom Reversal,2016-02-04,2016-06-16
TATASTEEL_3331-3420,517.0,420.0,561.65,406.2,513.6,841764918.0,Triple Bottom Reversal,2019-03-22,2019-08-01
BAJFINANCE_1351-1440,6299.0,8800.7,8836.0,6154.0,6207.7,9509686.0,Triple Bottom Reversal,2016-03-04,2016-07-18
VEDL_901-990,198.0,163.5,203.6,145.8,200.05,1048974960.0,Triple Bottom Reversal,2018-12-24,2019-05-07
GRASIM_4321-4410,1184.1,1233.15,1375.0,1012.15,1184.7,130464109.0,Triple Bottom Reversal,2017-05-09,2017-09-14
HINDUNILVR_2521-2610,1280.0,1397.3,1406.9,1169.0,1279.3,102537957.0,Triple Bottom Reversal,2017-09-20,2018-01-29
SBIN_4501-4590,317.7,270.15,332.75,232.35,318.1,2085942999.0,Triple Bottom Reversal,2018-01-24,2018-06-06
BAJAJFINSV_2071-2160,3228.0,3637.25,3777.8,2480.0,3199.85,19649745.0,Triple Bottom Reversal,2016-10-05,2017-02-13
GAIL_4231-4320,325.5,387.7,399.4,298.75,327.0,375158289.0,Triple Bottom Reversal,2018-04-12,2018-08-17
UPL_901-990,858.0,813.0,902.5,755.0,853.75,105410080.0,Triple Bottom Reversal,2017-06-16,2017-10-26
POWERGRID_2521-2610,200.25,208.1,208.9,189.0,200.25,574797594.0,Triple Bottom Reversal,2017-12-07,2018-04-19
JSWSTEEL_3241-3330,370.0,266.85,385.2,256.6,376.8,485030057.0,Triple Bottom Reversal,2018-10-11,2019-02-19
