Symbol_Period,Initial_Open,Close,High,Low,Prev_Close,Volume,Label,Start_Date,End_Date
EICHERMOT_1711-1800,353.0,327.85,415.0,280.35,354.6,1636440.0,Double Top,2006-10-31,2007-03-12
ADANIPORTS_811-900_synthetic_58,-12225722230.761614,44092105693.882645,-45054889601.37124,-15944369633.809183,-61029262418.92832,3.4779189978909824e+16,Cup and Handle,2015-04-27,2015-08-31
SUNPHARMA_3511-3600,594.0,603.15,653.35,552.55,589.4,238472623.0,Double Top,2014-01-21,2014-06-03
JSWSTEEL_1531-1620,647.0,729.6,885.95,462.35,649.45,231230011.0,Descending Triangle,2011-11-18,2012-03-26
BAJAJFINSV_1981-2070,1798.0,3199.85,3424.8,1762.1,1789.35,16713415.0,Ascending Triangle,2016-05-26,2016-10-04
SBIN_2431-2520,2185.0,1897.8,2500.0,1863.1,2170.75,212819505.0,Double Top,2009-09-23,2010-02-05
INDUSINDBK_4861-4950,614.5,1039.9,1119.5,571.0,614.0,1378213388.0,Ascending Triangle,2020-10-28,2021-03-05
NESTLEIND_271-360,3250.0,4153.45,4220.8,3162.25,3256.95,2462054.0,Ascending Triangle,2011-02-03,2011-06-14
INFY_1891-1980,750.1,730.55,773.0,697.45,750.45,723888893.0,Symmetrical Triangle,2019-02-13,2019-06-27
SBIN_1711-1800,1049.0,962.55,1617.4,955.0,1040.65,108686784.0,Double Top,2006-10-21,2007-03-05
HDFCBANK_3601-3690,822.4,858.85,892.95,791.4,824.35,161320942.0,Cup and Handle,2014-06-04,2014-10-16
HINDALCO_2701-2790,220.9,226.2,259.75,192.35,219.5,1012969228.0,Double Top,2018-07-18,2018-11-30
BRITANNIA_2881-2970,437.65,474.55,494.7,389.0,474.65,3327437.0,Cup and Handle,2011-07-14,2011-11-25
HDFC_4771-4860,1868.0,2261.9,2300.7,1820.0,1853.65,283295678.0,Ascending Triangle,2019-02-27,2019-07-11
ITC_271-360,886.35,732.45,922.45,688.0,883.2,53498921.0,Symmetrical Triangle,2001-01-30,2001-06-08
DRREDDY_1891-1980,678.0,618.55,693.0,575.0,672.5,31831566.0,Descending Triangle,2007-07-16,2007-11-20
HINDUNILVR_1441-1530,588.0,621.75,725.0,578.95,587.0,253594118.0,Cup and Handle,2013-05-09,2013-09-13
ADANIPORTS_1441-1530,430.6,370.0,452.35,355.25,429.7,346221849.0,Head and Shoulders,2017-11-09,2018-03-20
ZEEL_1711-1800,283.75,269.55,302.0,254.15,284.55,225060673.0,Double Top,2014-01-15,2014-05-28
KOTAKBANK_2341-2430,579.0,649.1,677.0,546.9,580.5,50920986.0,Symmetrical Triangle,2012-08-30,2013-01-09
GRASIM_2341-2430,2200.0,2833.35,2940.0,2020.0,2192.0,16867179.0,Ascending Triangle,2009-05-19,2009-09-22
DRREDDY_5131-5220,4519.45,5161.8,5512.65,4216.65,4519.4,196762655.0,Ascending Triangle,2020-08-17,2020-12-22
ADANIPORTS_811-900_synthetic_5,-7769787331.2875805,-415023917.97575146,-2093541515.984485,35018985138.93911,27429294072.26725,1.5384094267462122e+16,Cup and Handle,2015-04-27,2015-08-31
KOTAKBANK_901-990,358.8,439.0,528.85,342.6,355.15,29597172.0,Ascending Triangle,2006-11-10,2007-03-22
BRITANNIA_271-360,728.0,628.2,823.0,592.55,761.4,816613.0,Head and Shoulders,2001-01-30,2001-06-08
HINDUNILVR_1261-1350,492.0,523.4,580.45,444.45,490.3,188447015.0,Descending Triangle,2012-08-14,2012-12-26
DRREDDY_1-90,1505.0,1244.6,1803.0,1045.55,1505.0,6941595.0,Double Top,2000-01-03,2000-05-15
ZEEL_721-810,265.4,290.75,315.0,243.9,263.4,98748210.0,Double Top,2010-02-02,2010-06-11
SUNPHARMA_3871-3960,881.0,742.5,966.0,724.05,872.4,330459870.0,Symmetrical Triangle,2015-07-10,2015-11-19
LT_4051-4140,913.0,1452.2,1593.0,884.0,915.2,508337782.0,Ascending Triangle,2020-10-15,2021-02-22
RELIANCE_1531-1620,707.0,895.35,1184.4,683.5,708.65,587156915.0,Head and Shoulders,2006-02-03,2006-06-15
HINDUNILVR_541-630,256.2,232.6,295.9,227.0,259.5,239297815.0,Descending Triangle,2009-09-29,2010-02-09
TATAMOTORS_2881-2970,388.75,405.6,431.9,279.1,389.55,853622173.0,Descending Triangle,2015-07-23,2015-12-03
BAJFINANCE_1351-1440,6299.0,8800.7,8836.0,6154.0,6207.7,9509686.0,Triple Bottom Reversal,2016-03-04,2016-07-18
UPL_1351-1440,938.0,518.05,1043.75,497.85,944.65,316304726.0,Double Top,2019-04-10,2019-08-22
DRREDDY_2251-2340,466.8,612.95,650.0,355.25,468.25,32485529.0,Symmetrical Triangle,2008-12-29,2009-05-18
ADANIPORTS_811-900_synthetic_56,-35439301734.360176,2059223573.2894592,-13825570629.056072,20031374307.68397,39896992668.995895,3.5772431618038656e+16,Cup and Handle,2015-04-27,2015-08-31
SBIN_4771-4860,268.0,363.2,373.6,266.55,266.35,2121746008.0,Ascending Triangle,2019-02-27,2019-07-11
ADANIPORTS_811-900_synthetic_54,-4748618715.703154,-6764523949.171105,45585908247.72462,29190956958.874653,-33034346320.275276,1.5269160811098736e+16,Cup and Handle,2015-04-27,2015-08-31
